category,title_group,english_level,it_experience_years,salary_usd
Quality Assurance,Senior-level,Intermediate,6.0,3200.0
Quality Assurance,Entry-level,Intermediate,0.5,600.0
Design,Mid-level,Upper-Intermediate,5.0,1800.0
Quality Assurance,Entry-level,Advanced,1.5,1500.0
Management,Mid-level,Upper-Intermediate,2.0,1800.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,4598.0
Quality Assurance,Mid-level,Intermediate,4.0,1200.0
Other,Mid-level,Intermediate,6.0,1500.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,4460.0
Marketing,Mid-level,Upper-Intermediate,7.0,1883.0
Other,Mid-level,Upper-Intermediate,3.0,2100.0
Design,Mid-level,Pre-Intermediate,3.0,2000.0
Analyst,Entry-level,Upper-Intermediate,1.5,800.0
Quality Assurance,Entry-level,Intermediate,0.5,480.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,4200.0
Other,Mid-level,Upper-Intermediate,4.0,1200.0
Software Engineer,Tech leadership,Upper-Intermediate,12.0,7400.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,5000.0
Analyst,Mid-level,Upper-Intermediate,4.0,2600.0
Software Engineer,Entry-level,Intermediate,1.5,750.0
DevOps,Tech leadership,Intermediate,7.0,5200.0
Data Scientist,Senior-level,Intermediate,5.0,3600.0
Quality Assurance,Tech leadership,Upper-Intermediate,7.0,3600.0
SysAdmin,Senior-level,Upper-Intermediate,14.0,3000.0
Quality Assurance,Mid-level,Intermediate,2.0,1500.0
Quality Assurance,Senior-level,Upper-Intermediate,4.0,3300.0
Analyst,Senior-level,Advanced,7.0,3500.0
Quality Assurance,Senior-level,Intermediate,8.0,3100.0
Management,Senior-level,Advanced,4.0,3000.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,4982.0
Software Engineer,Senior-level,Upper-Intermediate,12.0,6000.0
Software Engineer,Senior-level,Elementary,13.0,4100.0
Customer Support,Senior-level,Upper-Intermediate,3.0,3150.0
Analyst,Senior-level,Advanced,8.0,4500.0
Software Engineer,Senior-level,Advanced,6.0,4700.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1650.0
Quality Assurance,Mid-level,Intermediate,4.0,1750.0
Analyst,Mid-level,Intermediate,6.0,2000.0
Management,Management,Advanced,10.0,5300.0
DevOps,Mid-level,Intermediate,4.0,2300.0
Management,Executive,Advanced,20.0,8000.0
Software Engineer,Mid-level,Intermediate,4.0,3290.0
Software Engineer,Senior-level,Intermediate,6.0,5900.0
Quality Assurance,Senior-level,Advanced,5.0,3200.0
Management,Entry-level,Upper-Intermediate,1.5,1000.0
DevOps,Senior-level,Upper-Intermediate,5.0,6500.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,3700.0
Data Scientist,Entry-level,Upper-Intermediate,0.5,600.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,3200.0
HR,Senior-level,Advanced,6.0,3000.0
Software Engineer,Senior-level,Upper-Intermediate,3.0,6000.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,1350.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,3900.0
Marketing,Entry-level,Intermediate,0.5,700.0
Customer Support,Entry-level,Upper-Intermediate,2.0,750.0
Other,Management,Advanced,12.0,4250.0
Quality Assurance,Mid-level,Advanced,4.0,1755.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2000.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,5000.0
Quality Assurance,Senior-level,Upper-Intermediate,9.0,3750.0
Quality Assurance,Mid-level,Intermediate,3.0,1800.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1395.0
Management,Management,Advanced,8.0,4500.0
Management,Mid-level,Upper-Intermediate,2.0,1200.0
Management,Management,Advanced,13.0,5900.0
Customer Support,Mid-level,Upper-Intermediate,4.0,4000.0
Quality Assurance,Mid-level,Intermediate,4.0,1500.0
DevOps,Senior-level,Upper-Intermediate,10.0,4350.0
Software Engineer,Tech leadership,Advanced,20.0,5300.0
Quality Assurance,Mid-level,Intermediate,5.0,1300.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2700.0
Data Scientist,Senior-level,Upper-Intermediate,5.0,3900.0
Quality Assurance,Entry-level,Intermediate,1.0,700.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,1800.0
Quality Assurance,Senior-level,Upper-Intermediate,3.0,2800.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,900.0
Other,Entry-level,Advanced,0.25,400.0
Software Engineer,Tech leadership,Advanced,8.0,4000.0
Quality Assurance,Senior-level,Advanced,6.0,3000.0
Quality Assurance,Senior-level,Elementary,7.0,2700.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2900.0
DevOps,Mid-level,Upper-Intermediate,2.0,1200.0
Quality Assurance,Entry-level,Intermediate,0.25,500.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,3300.0
Software Engineer,Tech leadership,Upper-Intermediate,8.0,5800.0
Design,Senior-level,Advanced,9.0,4500.0
Marketing,Mid-level,Advanced,4.0,1700.0
Software Engineer,Mid-level,Advanced,3.0,1747.0
Analyst,Mid-level,Intermediate,7.0,1715.0
Data Scientist,Mid-level,Intermediate,3.0,1860.0
Data Scientist,IC-high,Intermediate,8.0,6000.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,6000.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,3000.0
DevOps,Senior-level,Elementary,7.0,7800.0
Software Engineer,Tech leadership,Upper-Intermediate,7.0,6500.0
Software Engineer,Mid-level,Intermediate,3.0,3000.0
Software Engineer,Senior-level,Upper-Intermediate,12.0,4200.0
Software Engineer,Senior-level,Upper-Intermediate,9.0,4500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2000.0
Analyst,Tech leadership,Upper-Intermediate,5.0,5500.0
Management,Entry-level,Upper-Intermediate,3.0,1500.0
Design,Mid-level,Intermediate,3.0,1500.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1300.0
Customer Support,Entry-level,Upper-Intermediate,0.5,750.0
Software Engineer,Entry-level,Pre-Intermediate,1.0,800.0
Management,Mid-level,Upper-Intermediate,2.0,2000.0
Software Engineer,Senior-level,Intermediate,13.0,5000.0
Other,Tech leadership,Intermediate,6.0,5000.0
Quality Assurance,Mid-level,Intermediate,5.0,2100.0
HR,Mid-level,Pre-Intermediate,5.0,1490.0
Marketing,Senior-level,Upper-Intermediate,6.0,3500.0
Quality Assurance,Entry-level,Pre-Intermediate,2.0,530.0
Quality Assurance,Senior-level,Advanced,4.0,3400.0
DevOps,Senior-level,Intermediate,5.0,4400.0
Management,Entry-level,Intermediate,0.25,500.0
Software Engineer,Senior-level,Intermediate,10.0,3800.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2300.0
Quality Assurance,Mid-level,Pre-Intermediate,7.0,2360.0
Software Engineer,Senior-level,Advanced,7.0,7000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2800.0
Software Engineer,Mid-level,I don't know,5.0,2000.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,5700.0
Quality Assurance,Tech leadership,Upper-Intermediate,13.0,9000.0
DevOps,Entry-level,Intermediate,0.1,535.0
Marketing,Senior-level,Advanced,10.0,2500.0
Marketing,Mid-level,Pre-Intermediate,3.0,1860.0
Software Engineer,Senior-level,Intermediate,6.0,5800.0
Management,Mid-level,Upper-Intermediate,2.0,2100.0
Quality Assurance,Entry-level,Advanced,1.5,940.0
DevOps,Mid-level,Intermediate,4.0,3100.0
Customer Support,Mid-level,Pre-Intermediate,3.0,3300.0
Quality Assurance,Senior-level,Upper-Intermediate,14.0,3000.0
Design,Mid-level,Upper-Intermediate,2.0,1700.0
Other,Mid-level,Intermediate,2.0,1600.0
Software Engineer,Entry-level,Upper-Intermediate,2.0,550.0
Quality Assurance,Mid-level,Advanced,4.0,2050.0
Analyst,Senior-level,Upper-Intermediate,6.0,4500.0
Management,Mid-level,Upper-Intermediate,2.0,3000.0
Management,Management,Advanced,5.0,5000.0
Quality Assurance,Senior-level,Upper-Intermediate,5.0,3600.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,3200.0
Management,Management,Intermediate,12.0,5450.0
Quality Assurance,Mid-level,Intermediate,5.0,1200.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,2050.0
Quality Assurance,Tech leadership,Intermediate,9.0,4400.0
Marketing,Mid-level,Advanced,3.0,2000.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,1500.0
Marketing,Mid-level,Intermediate,6.0,1500.0
Customer Support,Entry-level,Upper-Intermediate,2.0,800.0
Management,Mid-level,Upper-Intermediate,5.0,2900.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2200.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,4700.0
Software Engineer,Senior-level,Upper-Intermediate,4.0,3400.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3300.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,4750.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,5800.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,3400.0
Management,Entry-level,Pre-Intermediate,1.5,700.0
Management,Management,Upper-Intermediate,8.0,6000.0
Software Engineer,Mid-level,Pre-Intermediate,3.0,2400.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3700.0
Software Engineer,Entry-level,Intermediate,2.0,900.0
Other,Senior-level,Upper-Intermediate,8.0,6300.0
Analyst,Mid-level,Upper-Intermediate,1.0,1500.0
Software Engineer,Tech leadership,Upper-Intermediate,5.0,8000.0
Quality Assurance,Mid-level,Intermediate,5.0,2500.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,2625.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,7700.0
Design,Mid-level,Upper-Intermediate,5.0,2955.0
Analyst,Mid-level,Upper-Intermediate,2.0,3534.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,4000.0
Software Engineer,Entry-level,Intermediate,0.25,400.0
Software Engineer,Tech leadership,Advanced,13.0,9615.0
Analyst,Mid-level,Intermediate,3.0,1900.0
Software Engineer,Mid-level,Pre-Intermediate,1.0,1500.0
Software Engineer,Mid-level,Intermediate,3.0,2800.0
Marketing,Mid-level,Upper-Intermediate,5.0,1860.0
Quality Assurance,Tech leadership,Upper-Intermediate,5.0,5200.0
Software Engineer,Senior-level,Advanced,5.0,7000.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,1700.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,4700.0
Management,Entry-level,Upper-Intermediate,2.0,1000.0
Software Engineer,Entry-level,Upper-Intermediate,0.5,700.0
Management,Entry-level,Upper-Intermediate,3.0,1000.0
Quality Assurance,Entry-level,Pre-Intermediate,0.25,500.0
Marketing,Entry-level,Upper-Intermediate,3.0,1311.0
Design,Mid-level,Intermediate,3.0,1400.0
Management,Senior-level,Advanced,6.0,3500.0
Design,Mid-level,Upper-Intermediate,2.0,1300.0
Software Engineer,Senior-level,Intermediate,12.0,2700.0
Quality Assurance,Tech leadership,Upper-Intermediate,11.0,9000.0
Quality Assurance,Tech leadership,Advanced,18.0,5000.0
Marketing,Mid-level,Advanced,1.5,1254.0
Data Scientist,Mid-level,Advanced,3.0,3888.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2500.0
Quality Assurance,Tech leadership,Upper-Intermediate,10.0,5300.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,900.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,3000.0
DevOps,Senior-level,Intermediate,5.0,4000.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,3900.0
Design,Mid-level,Pre-Intermediate,3.0,1800.0
Software Engineer,Senior-level,Pre-Intermediate,10.0,4500.0
Quality Assurance,Senior-level,Intermediate,5.0,4500.0
Software Engineer,Entry-level,Intermediate,3.0,940.0
Marketing,Tech leadership,Advanced,18.0,4000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2500.0
Design,Mid-level,Upper-Intermediate,2.0,1800.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2600.0
Security,Entry-level,Advanced,1.5,1400.0
Quality Assurance,Tech leadership,Intermediate,18.0,3870.0
DevOps,Entry-level,Upper-Intermediate,0.5,1000.0
Management,Entry-level,Intermediate,0.5,650.0
Software Engineer,Tech leadership,Upper-Intermediate,7.0,5000.0
Design,Senior-level,Upper-Intermediate,11.0,4500.0
Quality Assurance,Mid-level,Advanced,4.0,2300.0
Design,Mid-level,Advanced,7.0,2150.0
DevOps,Mid-level,Upper-Intermediate,3.0,3500.0
Quality Assurance,Mid-level,Intermediate,3.0,1400.0
Software Engineer,Mid-level,Intermediate,3.0,2300.0
DevOps,Mid-level,Intermediate,7.0,4000.0
Design,Mid-level,Pre-Intermediate,1.5,3000.0
Design,Senior-level,Upper-Intermediate,8.0,3500.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,880.0
Management,Management,Upper-Intermediate,9.0,7300.0
Management,Senior-level,Advanced,5.0,2582.0
Management,Management,Advanced,8.0,7200.0
Quality Assurance,Mid-level,Intermediate,3.0,2185.0
HR,Entry-level,Pre-Intermediate,2.0,400.0
Data Scientist,Mid-level,Intermediate,5.0,3500.0
Management,Management,Upper-Intermediate,7.0,5300.0
Other,Management,Intermediate,8.0,4000.0
Customer Support,Mid-level,Intermediate,3.0,2000.0
Quality Assurance,Entry-level,Intermediate,2.0,800.0
Marketing,Entry-level,Elementary,0.25,500.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,2200.0
Quality Assurance,Entry-level,Intermediate,0.5,500.0
DevOps,Tech leadership,Intermediate,9.0,5500.0
Quality Assurance,Mid-level,Intermediate,2.0,1500.0
Quality Assurance,Mid-level,Advanced,3.0,3150.0
Software Engineer,Mid-level,Upper-Intermediate,2.0,1780.0
Quality Assurance,Senior-level,Intermediate,5.0,2700.0
DevOps,Senior-level,Upper-Intermediate,5.0,5500.0
Design,Tech leadership,Upper-Intermediate,11.0,5900.0
Software Engineer,Mid-level,Pre-Intermediate,3.0,2000.0
Quality Assurance,Entry-level,Intermediate,1.0,900.0
Analyst,Entry-level,Upper-Intermediate,1.5,868.0
Software Engineer,Senior-level,Intermediate,6.0,2610.0
Marketing,Management,Advanced,18.0,7500.0
Quality Assurance,Entry-level,Upper-Intermediate,0.1,800.0
HR,Management,Upper-Intermediate,7.0,3600.0
Software Engineer,Mid-level,Intermediate,5.0,1200.0
Quality Assurance,Mid-level,Intermediate,2.0,1700.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,4700.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,2800.0
DevOps,Mid-level,Intermediate,5.0,3200.0
Data Scientist,Entry-level,Advanced,0.25,525.0
Quality Assurance,Senior-level,Upper-Intermediate,4.0,6000.0
Software Engineer,Mid-level,Intermediate,2.0,1750.0
Software Engineer,Tech leadership,Upper-Intermediate,10.0,5828.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,500.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,4000.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,3850.0
Quality Assurance,Senior-level,Intermediate,9.0,3900.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,4500.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,8000.0
Software Engineer,Mid-level,Pre-Intermediate,5.0,2420.0
Quality Assurance,Senior-level,Intermediate,4.0,2850.0
Software Engineer,Tech leadership,Upper-Intermediate,18.0,4500.0
Analyst,Entry-level,Advanced,3.0,1500.0
Software Engineer,Senior-level,Upper-Intermediate,9.0,2800.0
Quality Assurance,Mid-level,Intermediate,3.0,1800.0
Management,Mid-level,Upper-Intermediate,7.0,2030.0
Marketing,Mid-level,Upper-Intermediate,4.0,2500.0
Software Engineer,Senior-level,Elementary,8.0,3000.0
Other,Mid-level,Upper-Intermediate,4.0,2400.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,3600.0
DevOps,Senior-level,Upper-Intermediate,5.0,7000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2000.0
Quality Assurance,Mid-level,Intermediate,3.0,1700.0
Quality Assurance,Entry-level,Intermediate,1.0,800.0
Marketing,Mid-level,Advanced,1.0,1400.0
Data Scientist,Mid-level,Intermediate,3.0,2700.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,3300.0
Quality Assurance,Tech leadership,Upper-Intermediate,6.0,6000.0
Quality Assurance,Senior-level,Pre-Intermediate,10.0,3700.0
DevOps,Senior-level,Pre-Intermediate,5.0,4880.0
Data Scientist,Senior-level,Advanced,8.0,6150.0
Analyst,Management,Advanced,5.0,4000.0
Software Engineer,Tech leadership,Upper-Intermediate,5.0,3500.0
DevOps,Entry-level,Intermediate,1.0,720.0
Other,Mid-level,Intermediate,3.0,1300.0
Management,Mid-level,Intermediate,3.0,2000.0
Analyst,Mid-level,Pre-Intermediate,1.5,1450.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,3100.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,3325.0
Quality Assurance,Entry-level,Elementary,1.0,620.0
Management,Mid-level,Intermediate,3.0,2000.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,2200.0
Marketing,Senior-level,Intermediate,5.0,3000.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1750.0
Data Scientist,Entry-level,Intermediate,3.0,1200.0
Marketing,Mid-level,Upper-Intermediate,3.0,1500.0
Analyst,Senior-level,Upper-Intermediate,3.0,3175.0
Quality Assurance,Senior-level,Upper-Intermediate,3.0,3500.0
Analyst,Senior-level,Upper-Intermediate,7.0,4170.0
DevOps,Senior-level,Upper-Intermediate,4.0,3200.0
Quality Assurance,Senior-level,Advanced,7.0,4000.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2700.0
Quality Assurance,Mid-level,Pre-Intermediate,2.0,1200.0
Sales,Entry-level,Upper-Intermediate,3.0,1500.0
Software Engineer,Mid-level,Intermediate,6.0,3000.0
Software Engineer,Senior-level,Intermediate,10.0,5500.0
Software Engineer,Mid-level,Intermediate,2.0,1350.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,1500.0
Software Engineer,Mid-level,Intermediate,3.0,1300.0
Software Engineer,Mid-level,Intermediate,2.0,1650.0
Management,Entry-level,Upper-Intermediate,3.0,1420.0
Quality Assurance,Senior-level,Upper-Intermediate,4.0,6000.0
Design,Senior-level,Upper-Intermediate,7.0,2500.0
Marketing,Entry-level,Upper-Intermediate,0.25,1000.0
DevOps,Senior-level,Upper-Intermediate,5.0,7000.0
Design,Senior-level,Advanced,5.0,3000.0
DevOps,Senior-level,Upper-Intermediate,5.0,3900.0
Quality Assurance,Entry-level,Intermediate,0.1,700.0
Quality Assurance,Mid-level,Intermediate,6.0,2900.0
Security,Mid-level,Intermediate,5.0,1938.0
Marketing,Mid-level,Intermediate,2.0,1240.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2000.0
Analyst,Tech leadership,Upper-Intermediate,7.0,4750.0
Management,Management,Advanced,20.0,4700.0
Data Scientist,Mid-level,Intermediate,2.0,3800.0
HR,Management,Intermediate,12.0,7400.0
DevOps,Tech leadership,Pre-Intermediate,9.0,6500.0
Data Scientist,Senior-level,Upper-Intermediate,7.0,6000.0
Software Engineer,Mid-level,Intermediate,3.0,3300.0
Analyst,Senior-level,Pre-Intermediate,4.0,2700.0
Design,Mid-level,Intermediate,4.0,2500.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,3500.0
Software Engineer,Mid-level,Intermediate,5.0,2150.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2966.0
Software Engineer,Mid-level,Advanced,2.0,1400.0
Quality Assurance,Senior-level,Intermediate,7.0,3920.0
Software Engineer,Senior-level,Pre-Intermediate,6.0,3500.0
Design,Tech leadership,Advanced,13.0,5200.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3200.0
Marketing,Senior-level,Pre-Intermediate,3.0,3500.0
Design,Senior-level,Upper-Intermediate,5.0,2500.0
DevOps,Mid-level,Elementary,4.0,1500.0
DevOps,Senior-level,Upper-Intermediate,4.0,5400.0
Customer Support,Entry-level,Intermediate,0.1,681.87
Software Engineer,Entry-level,Pre-Intermediate,2.0,850.0
Data Scientist,Senior-level,Advanced,8.0,6600.0
Other,Mid-level,Upper-Intermediate,4.0,1300.0
DevOps,Mid-level,Pre-Intermediate,4.0,2000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2060.0
Management,Mid-level,Intermediate,4.0,2600.0
Analyst,Senior-level,Upper-Intermediate,4.0,4000.0
Management,Entry-level,Intermediate,0.1,1445.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,5000.0
Marketing,Tech leadership,Advanced,10.0,4000.0
DevOps,Entry-level,Intermediate,0.5,1000.0
DevOps,Mid-level,Advanced,2.0,3500.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,2514.0
Design,Senior-level,Upper-Intermediate,7.0,2900.0
Other,Entry-level,Pre-Intermediate,0.25,400.0
Management,Entry-level,Upper-Intermediate,1.0,1200.0
Software Engineer,Tech leadership,Intermediate,10.0,4300.0
Software Engineer,Senior-level,Upper-Intermediate,4.0,5134.8
Quality Assurance,Senior-level,Upper-Intermediate,7.0,2750.0
Management,Senior-level,Upper-Intermediate,8.0,3600.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,800.0
DevOps,Mid-level,Upper-Intermediate,2.0,1500.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,4648.0
Other,Mid-level,Intermediate,3.0,1400.0
Software Engineer,Senior-level,Intermediate,6.0,3800.0
Data Scientist,Entry-level,Upper-Intermediate,0.5,600.0
DevOps,Tech leadership,Advanced,7.0,8500.0
Design,Entry-level,Advanced,2.0,900.0
Software Engineer,Senior-level,Upper-Intermediate,4.0,3760.0
Design,Mid-level,Intermediate,6.0,1500.0
Design,Entry-level,Advanced,0.1,1100.0
Management,Management,Advanced,8.0,7000.0
Software Engineer,Entry-level,Intermediate,0.25,400.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3530.0
Management,Mid-level,Advanced,2.0,3000.0
Quality Assurance,Tech leadership,Intermediate,6.0,5280.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,3100.0
Data Scientist,Entry-level,Upper-Intermediate,0.1,630.0
Software Engineer,Mid-level,Intermediate,1.5,1800.0
Software Engineer,Tech leadership,Upper-Intermediate,4.0,3777.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,710.0
Management,Senior-level,Upper-Intermediate,10.0,4000.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,6800.0
Quality Assurance,Entry-level,Intermediate,2.0,750.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1250.0
Quality Assurance,Senior-level,Advanced,4.0,4000.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,1200.0
Quality Assurance,Senior-level,Upper-Intermediate,9.0,3330.0
Software Engineer,IC-high,Upper-Intermediate,18.0,10000.0
Software Engineer,Tech leadership,Advanced,14.0,6680.0
Design,Senior-level,Intermediate,4.0,6400.0
Design,Entry-level,Upper-Intermediate,1.0,500.0
SysAdmin,Entry-level,Intermediate,1.0,500.0
Software Engineer,Entry-level,Intermediate,1.5,1370.0
Analyst,Mid-level,Upper-Intermediate,4.0,2700.0
Design,Entry-level,Pre-Intermediate,0.5,600.0
Analyst,IC-high,Advanced,9.0,6000.0
Management,Management,Upper-Intermediate,14.0,8500.0
Management,Management,Upper-Intermediate,13.0,7000.0
Software Engineer,Mid-level,Pre-Intermediate,4.0,1500.0
Quality Assurance,Mid-level,Intermediate,4.0,2750.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,2000.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,3600.0
Quality Assurance,Mid-level,Intermediate,3.0,1600.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,2300.0
Other,Mid-level,Advanced,4.0,1400.0
Data Scientist,Tech leadership,Upper-Intermediate,6.0,5100.0
Management,Mid-level,Upper-Intermediate,3.0,1300.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,2100.0
Management,Management,Advanced,10.0,3600.0
HR,Mid-level,Upper-Intermediate,5.0,2380.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1600.0
Design,Mid-level,Intermediate,5.0,2050.0
Management,Tech leadership,Advanced,5.0,4870.0
Design,Entry-level,Upper-Intermediate,1.5,1000.0
Marketing,Executive,Advanced,18.0,6800.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,4500.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2000.0
DevOps,Entry-level,Upper-Intermediate,0.1,600.0
Quality Assurance,Mid-level,Intermediate,2.0,1800.0
Customer Support,Mid-level,Intermediate,4.0,1700.0
Security,Entry-level,Intermediate,0.5,600.0
Analyst,Mid-level,Upper-Intermediate,4.0,2850.0
DevOps,Senior-level,Upper-Intermediate,10.0,4200.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1650.0
Quality Assurance,Senior-level,Upper-Intermediate,5.0,6000.0
DevOps,Mid-level,Intermediate,5.0,3600.0
Quality Assurance,Mid-level,Intermediate,4.0,1300.0
Software Engineer,Entry-level,Advanced,1.5,1200.0
Other,Management,Advanced,7.0,3540.0
Software Engineer,Senior-level,Intermediate,5.0,4600.0
Management,Senior-level,Upper-Intermediate,5.0,3500.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,5300.0
Management,Senior-level,Intermediate,3.0,6000.0
Software Engineer,Mid-level,Elementary,5.0,1800.0
Analyst,Entry-level,Intermediate,0.5,500.0
Software Engineer,Entry-level,Intermediate,1.5,1000.0
Software Engineer,Senior-level,Upper-Intermediate,4.0,3500.0
Software Engineer,Mid-level,Intermediate,5.0,2500.0
Marketing,Management,Intermediate,10.0,5800.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1800.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,5750.0
Quality Assurance,Tech leadership,Upper-Intermediate,5.0,6000.0
Software Engineer,Entry-level,Upper-Intermediate,0.25,840.0
Software Engineer,Mid-level,Intermediate,3.0,1400.0
Software Engineer,Mid-level,Intermediate,3.0,2000.0
Software Engineer,Senior-level,Intermediate,7.0,6500.0
Management,Senior-level,Pre-Intermediate,5.0,3700.0
Analyst,Mid-level,Intermediate,1.0,1300.0
Quality Assurance,Entry-level,Intermediate,1.5,1500.0
HR,Mid-level,Intermediate,3.0,1700.0
Quality Assurance,Entry-level,Intermediate,1.0,600.0
Data Scientist,Entry-level,Upper-Intermediate,1.5,1500.0
Analyst,Mid-level,Upper-Intermediate,3.0,2000.0
Software Engineer,Mid-level,Upper-Intermediate,1.5,2000.0
Quality Assurance,Entry-level,Upper-Intermediate,0.25,770.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1350.0
Quality Assurance,Senior-level,Upper-Intermediate,12.0,3000.0
Marketing,Management,Upper-Intermediate,5.0,5376.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,1500.0
HR,Entry-level,Pre-Intermediate,0.25,672.0
Software Engineer,Mid-level,Intermediate,3.0,2000.0
Design,Senior-level,Upper-Intermediate,8.0,3100.0
Analyst,Senior-level,Upper-Intermediate,8.0,5200.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,4000.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,2600.0
Marketing,Entry-level,I don't know,1.5,500.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,4300.0
Quality Assurance,Mid-level,Pre-Intermediate,5.0,3300.0
Management,Mid-level,Upper-Intermediate,3.0,1400.0
Software Engineer,Tech leadership,Upper-Intermediate,9.0,4000.0
Design,Mid-level,Upper-Intermediate,2.0,2240.0
